file_urls,files
http://seaborn.pydata.org/_downloads/anscombes_quartet.py,"[{'url': 'http://seaborn.pydata.org/_downloads/anscombes_quartet.py', 'path': 'anscombes_quartet.py', 'checksum': '94347ea3a601f06fa48c4e5cf71963b1'}]"
http://seaborn.pydata.org/_downloads/grouped_barplot.py,"[{'url': 'http://seaborn.pydata.org/_downloads/grouped_barplot.py', 'path': 'grouped_barplot.py', 'checksum': 'ea3cd45be3ef65256ac933136ab92131'}]"
http://seaborn.pydata.org/_downloads/horizontal_boxplot.py,"[{'url': 'http://seaborn.pydata.org/_downloads/horizontal_boxplot.py', 'path': 'horizontal_boxplot.py', 'checksum': '5ea1658b3811cf4c4784c321e875a679'}]"
http://seaborn.pydata.org/_downloads/hexbin_marginals.py,"[{'url': 'http://seaborn.pydata.org/_downloads/hexbin_marginals.py', 'path': 'hexbin_marginals.py', 'checksum': '4b6b02dd5c5596343fd82f194d3bfb7f'}]"
http://seaborn.pydata.org/_downloads/faceted_lineplot.py,"[{'url': 'http://seaborn.pydata.org/_downloads/faceted_lineplot.py', 'path': 'faceted_lineplot.py', 'checksum': '407af5131864d4c3789d20a5418c7e29'}]"
http://seaborn.pydata.org/_downloads/faceted_histogram.py,"[{'url': 'http://seaborn.pydata.org/_downloads/faceted_histogram.py', 'path': 'faceted_histogram.py', 'checksum': 'b32b1e28397a6bbb4e7a8685c8c867ff'}]"
http://seaborn.pydata.org/_downloads/heatmap_annotation.py,"[{'url': 'http://seaborn.pydata.org/_downloads/heatmap_annotation.py', 'path': 'heatmap_annotation.py', 'checksum': '822620b305132dd7bc330600bdf59ee5'}]"
http://seaborn.pydata.org/_downloads/distplot_options.py,"[{'url': 'http://seaborn.pydata.org/_downloads/distplot_options.py', 'path': 'distplot_options.py', 'checksum': 'eafc532c8beff7965b810c79e176e47d'}]"
http://seaborn.pydata.org/_downloads/facet_projections.py,"[{'url': 'http://seaborn.pydata.org/_downloads/facet_projections.py', 'path': 'facet_projections.py', 'checksum': 'c6c77895d2d051871a9986c5c01db8d8'}]"
http://seaborn.pydata.org/_downloads/horizontal_barplot.py,"[{'url': 'http://seaborn.pydata.org/_downloads/horizontal_barplot.py', 'path': 'horizontal_barplot.py', 'checksum': '5bddc939484a1bd43ea01a593971cbee'}]"
