positiveRatio,price,storeName,title
98%,8999.00,Apple产品自营旗舰店,Apple iPhone XS Max (A2104) 256GB 深空灰色 移动联通电信4G手机 双卡双待深空灰色
97%,5199.00,Apple产品自营旗舰店,Apple iPhone XR (A2108) 128GB 黑色 移动联通电信4G手机 双卡双待黑色
98%,8499.00,Apple产品自营旗舰店,Apple iPhone XS (A2100) 256GB 深空灰色 移动联通电信4G手机深空灰色
97%,2949.00,Apple产品自营旗舰店,Apple iPhone 7 (A1660) 128G 黑色 移动联通电信4G手机黑色
98%,4099.00,Apple产品自营旗舰店,Apple iPhone 8 Plus (A1899) 64GB 深空灰色 移动联通4G手机深空灰色
99%,3499.00,Apple产品自营旗舰店,Apple iPhone 8 (A1863) 64GB 深空灰色 移动联通电信4G手机深空灰色
98%,3729.00,Apple产品自营旗舰店,Apple iPhone 7 Plus (A1661) 128G 黑色 移动联通电信4G手机黑色
99%,7299.00,Apple产品自营旗舰店,Apple iPhone X (A1865) 256GB 深空灰色 移动联通电信4G手机
97%,5078.00,佳沪手机旗舰店,Apple 苹果 iPhone XR 手机 黑色 全网通 128GB黑色
98%,4328.00,佳沪手机旗舰店,Apple 苹果 iPhone8 Plus 手机 深空灰色 全网通 64GB深空灰色
97%,4769.00,明日数码旗舰店,Apple 苹果 iPhone XR (A2108) 手机 黑色 全网通 64GB黑色
98%,8558.00,佳沪手机旗舰店,Apple 苹果 iPhone Xs Max 手机 金色 全网通 256GB金色
98%,7188.00,佳沪手机旗舰店,Apple 苹果 iPhone X 全面屏手机 深空灰色 全网通 256GB
98%,5108.00,新松联手机旗舰店,Apple 苹果 iPhone XR 手机 全网通 黑色 128GB黑色
98%,6768.00,佳沪手机旗舰店,Apple 苹果 iPhone Xs 手机 金色 全网通 64GB金色
98%,3398.00,佳沪手机旗舰店,Apple 苹果 iPhone8 手机 金色 全网通版 64GB金色
97%,2988.00,佳沪手机旗舰店,Apple 苹果 iPhone 6s Plus 4G手机 玫瑰金 全网通 128GB玫瑰金
98%,8546.00,新松联手机旗舰店,Apple 苹果 iphone Xs Max 手机 全网通 金色 256GB金色
97%,5198.00,淘金手机专营店,Apple 苹果 iPhone XR 手机 红色 128GB红色
97%,3028.00,千瑞达手机旗舰店,Apple 苹果 iPhone 6s Plus 4G手机 金色 全网通 128G金色
98%,4749.00,鹏瑶旗舰店,Apple 苹果 iPhone xr 手机 双卡双待 黑色 全网通 64G黑色
97%,3149.00,鹏瑶旗舰店,Apple 苹果 iPhone6s Plus 手机 金色 全网通128G金色
98%,6488.00,新松联手机旗舰店,Apple 苹果X iPhoneX手机 全网通 深空灰色 64G 标配深空灰色
93%,7298.00,京铠玄手机旗舰店,Apple 苹果 iPhone X 【0首付】全面屏手机 深空灰 (全网通 64GB)深空灰
98%,3367.00,同达丰手机旗舰店,Apple 苹果 iPhone 8 手机 深空灰 全网通 64GB深空灰
97%,5319.00,爱优创杰手机旗舰店,Apple 苹果 iPhone XR 手机 黑色 全网通128G黑色
97%,1988.00,OKSJ手机旗舰店,Apple 苹果 iPhone 5s智能手机 金色（移动联通4G） (16G ROM)
98%,7476.00,疆界互联旗舰店,Apple 苹果iphone xs max(A2104) 手机 深空灰 全网通64G深空灰
98%,5078.00,炜东电商旗舰店,Apple 苹果 iPhone xr 手机 双卡双待 黑色 全网通128G黑色
91%,5999.00,京铠玄手机旗舰店,Apple 苹果 iPhone XR （）手机 黑色 128G黑色
98%,3399.00,中国移动手机官方旗舰店,【低至3399元起】苹果Apple iPhone 8 手机 深空灰 移动联通版64G深空灰
99%,5558.00,疆界互联旗舰店,Apple （苹果） iPhone 8 Plus (A1864) 手机 深空灰 全网通256GB深空灰
99%,6858.00,新松联手机旗舰店,Apple 苹果 iPhone Xs 手机 全网通 金色 64GB金色
98%,4319.00,中国移动手机官方旗舰店,【低至4319元起】苹果 iPhone8 plus手机 金色 移动联通版64G金色
94%,5558.00,臻火旗舰店,Apple 苹果 iPhone XR 手机【0首付买送无线充电器+钢化膜】 黑色 全网通 128GB黑色
98%,3446.00,新松联手机旗舰店,Apple 苹果 iPhone8 手机 全网通 金色 64G 标配金色
97%,4698.00,茄子手机旗舰店,Apple iPhone XR 苹果Xr手机 【送无线充电器+钢化膜】 红色 64GB红色
99%,5399.00,岗隆手机专营店,Apple iPhone XR (A2108) 移动联通电信4G手机 双卡双待 白色 128GB白色
98%,4299.00,鹏瑶旗舰店,Apple 苹果 iPhone8 Plus 手机 深空灰色 全网通64G深空灰色
99%,7178.00,疆界互联旗舰店,Apple 苹果 iPhone X (A1865) 手机 深空灰色 全网通256G深空灰色
98%,4758.00,伟德手机专营店,APPLE苹果 iPhone XR  手机  全网通 白色 64GB白色
100%,6868.00,淘金手机专营店,Apple 苹果 iPhone XS 银色 64GB
99%,7288.00,炜东电商旗舰店,Apple 苹果x iPhonex 全面屏 手机 银色 全网通  256G银色
95%,3398.00,伟德手机专营店,APPLE苹果 iPhone 7 plus 移动联通电信4G手机 全网通 玫瑰金色 32GB玫瑰金色
98%,4674.00,同达丰手机旗舰店,Apple 苹果 iPhone Xr 手机 红色 全网通 64G红色
95%,2978.00,伟德手机专营店,APPLE苹果 iPhone7  移动联通电信4G手机 全网通 玫瑰金色 128GB玫瑰金色
97%,4338.00,Apple晨星泰合专卖店,Apple iPhone 8 Plus 移动联通电信4G 苹果手机 金色 64G金色
97%,5599.00,冰之凯盛手机专营店,Apple 苹果 iPhone XR 手机【免息0首付】 黑色 全网通 128G（分期版）黑色
97%,3399.00,聚捷联盛手机旗舰店,Apple 苹果 iPhone 7 手机 黑色 128GB版黑色
90%,3058.00,冰之凯盛手机专营店,Apple 苹果 iPhone 6sPlus 【分期0首付】全网通手机 金色 全网通 128G金色
98%,4327.00,同达丰手机旗舰店,Apple 苹果  iPhone 8 plus 手机 深空灰 全网通 64GB深空灰
98%,6868.00,疆界互联旗舰店,Apple 苹果iphone xs(A2100)手机 深空灰 全网通64G深空灰
100%,3378.00,伟德手机专营店,APPLE苹果  iPhone 8 手机 全网通 金色（送双耳蓝牙耳机带充电仓） 64GB金色（送双耳蓝牙耳机带充电仓）
98%,8525.00,同达丰手机旗舰店,Apple 苹果 iphone XS MAX 手机 金色 全网通 256G金色
97%,2999.00,鹏瑶旗舰店,Apple 苹果7  iPhone7 手机 金色 全网通128G金色
98%,4696.00,疆界互联旗舰店,Apple 苹果iphone xr(A2108) 手机 红色 全网通64G红色
93%,3089.00,冰之凯盛手机专营店,Apple/苹果 iPhone 7 全网通全新手机【 0首付】 黑色 全网通 128G黑色
98%,5299.00,顺电手机旗舰店,Apple苹果 iPhone xr (A2108)移动联通电信4G手机双卡双待 珊瑚色 128G
99%,5527.00,新松联手机旗舰店,Apple 苹果 iPhone8 Plus 手机 全网通 深空灰 公开(256G)标配深空灰
97%,3058.00,杰凌手机旗舰店,Apple 苹果 iPhone 7 手机 黑色 全网通 128GB黑色
96%,4599.00,岗隆手机专营店,Apple 苹果 iPhone8 Plus (A1864) 全网通4G 智能手机 白条 金色 官方标配 64G金色
98%,4399.00,聚捷联盛手机旗舰店,Apple 苹果 iPhone 7 Plus 手机 黑色 128GB黑色
96%,4668.00,疆界互联旗舰店,Apple （苹果） iPhone 8 (A1863) 手机 深空灰色 全网通256G深空灰色
97%,5198.00,OKSJ手机旗舰店,Apple 苹果 iPhone XR (A2108) 全网通4G手机 双卡双待 红色 128GB红色
98%,9399.00,聚捷联盛手机旗舰店,Apple 苹果 iPhone Xs Max 手机【苹果大调价，欲购从速】 深空灰色 256GB深空灰色
98%,3499.00,聚捷联盛手机旗舰店,Apple 苹果 iPhone 8手机【苹果大调价，欲购从速】 深空灰色 全网通64GB深空灰色
96%,3068.00,爱优创杰手机旗舰店,Apple 苹果 iPhone 6s Plus iphone6sp 移动联通电信4G手机 深空灰 全网通 (128G)深空灰
99%,8699.00,同达丰手机旗舰店,Apple 苹果 iphone XS 手机 金色 全网通 64G金色
98%,5199.00,中国移动手机官方旗舰店,【低至4778元起】苹果iPhone XR 手机 黑色 移动4G+版128GB黑色
95%,3699.00,冰之凯盛手机专营店,苹果（Apple） Apple iPhone 8手机【0首付】 金色 全网通64G（分期版）金色
95%,4399.00,中益德诚手机专营店,Apple 苹果8 iPhone8 Plus 手机【灰色64G限时优惠直降】 深空灰 全网通64GB深空灰
97%,5168.00,千瑞达手机旗舰店,Apple 苹果 iphone XR 4G手机 双卡双待 白色 全网通 128G白色
97%,3088.00,君问手机旗舰店,Apple 苹果 iPhone 6s plus手机 玫瑰金 公开版128G标配玫瑰金
91%,8899.00,岗隆手机专营店,Apple iPhone XS Max (A2104) 移动联通电信4G手机 双卡双待 银色 256GB银色
99%,7489.00,爱优创杰手机旗舰店,Apple 苹果X iPhone X 全面屏手机 全网通 深空灰 全网通256G深空灰
98%,5699.00,聚捷联盛手机旗舰店,Apple 苹果 iPhone XR 手机【苹果大调价，欲购从速】 黑色 128GB黑色
97%,3079.00,君问手机旗舰店,Apple 苹果iPhone7 手机 黑色 官方标配(全网通128G)
97%,3588.00,臻云商手机专营店,Apple iPhone 6s Plus（A1699）全新正品全网通4G手机 金色 128GB金色
98%,4799.00,聚捷联盛手机旗舰店,Apple 苹果 iPhone 8 plus 手机【苹果大调价，欲购从速】 银色 64G银色
97%,8188.00,杰凌手机旗舰店,Apple 苹果 iPhone XS 手机 银色 全网通 256GB银色
100%,8738.00,杰凌手机旗舰店,Apple 苹果 iPhone XS Max 手机 金色 全网通 256GB金色
99%,6699.00,中国移动手机官方旗舰店,【低至6699元起】苹果 iPhone XS 手机 金色 移动联通版64G金色
97%,3599.00,岗隆手机专营店,Apple 苹果 iPhone8 (A1863) 全网通4G 智能手机 白条 金色 官方标配 64G金色
97%,4815.00,天翼电信旗舰店,Apple 苹果 iPhone XR 手机 白色 64G白色
99%,5265.00,掌视界数码旗舰店,Apple iPhone XR (A2108) 苹果移动联通电信4G手机 双卡双待 黑色 128GB黑色
96%,3988.00,佳沪手机旗舰店,Apple 苹果 iPhone7 Plus 手机 黑色 全网通 128GB黑色
99%,8029.00,牧申手机旗舰店,Apple 苹果 iPhone XS 手机 深空灰色 全网通256G深空灰色
100%,7589.00,华信通手机专营店,Apple 苹果 iPhone XS Max (A2104) 双卡双待 手机 深空灰色 全网通 64GB深空灰色
100%,7188.00,沃晟手机专营店,Apple 苹果 iPhone X 全面屏手机 黑色 64G
98%,5588.00,炜东电商旗舰店,Apple 苹果 iPhone 8plus全网通手机 深空灰 256G深空灰
98%,5588.00,千瑞达手机旗舰店,Apple 苹果 iPhone8 Plus 4G手机 深空灰 全网通 256G深空灰
99%,8699.00,聚捷联盛手机旗舰店,Apple 苹果 iPhone Xs 手机【苹果大调价，欲购从速】 深空灰色 256GB深空灰色
